"","topic","language","term","platform","link","link_nr"
"0","La Palma volcano eruption","en","La Palma volcano eruption","youtube","_","0"
"1","La Palma volcano eruption","en","La Palma volcano eruption","youtube","_","1"
"2","La Palma volcano eruption","en","La Palma volcano eruption","youtube","_","2"
"3","La Palma volcano eruption","en","La Palma volcano eruption","youtube","_","3"
"4","La Palma volcano eruption","en","La Palma volcano eruption","youtube","_","4"
"5","La Palma volcano eruption","en","La Palma volcano eruption","dailymotion","_","0"
"6","La Palma volcano eruption","en","La Palma volcano eruption","dailymotion","_","1"
"7","La Palma volcano eruption","en","La Palma volcano eruption","dailymotion","_","2"
"8","La Palma volcano eruption","en","La Palma volcano eruption","dailymotion","_","3"
"9","La Palma volcano eruption","en","La Palma volcano eruption","dailymotion","_","4"
"10","La Palma volcano eruption","zh-cn","拉帕尔马火山喷发","youtube","_","0"
"11","La Palma volcano eruption","zh-cn","拉帕尔马火山喷发","youtube","_","1"
"12","La Palma volcano eruption","zh-cn","拉帕尔马火山喷发","youtube","_","2"
"13","La Palma volcano eruption","zh-cn","拉帕尔马火山喷发","youtube","_","3"
"14","La Palma volcano eruption","zh-cn","拉帕尔马火山喷发","youtube","_","4"
"15","La Palma volcano eruption","zh-cn","拉帕尔马火山喷发","dailymotion","_","0"
"16","La Palma volcano eruption","zh-cn","拉帕尔马火山喷发","dailymotion","_","1"
"17","La Palma volcano eruption","zh-cn","拉帕尔马火山喷发","dailymotion","_","2"
"18","La Palma volcano eruption","zh-cn","拉帕尔马火山喷发","dailymotion","_","3"
"19","La Palma volcano eruption","zh-cn","拉帕尔马火山喷发","dailymotion","_","4"
"20","La Palma volcano eruption","hi","ला पाल्मा ज्वालामुखी विस्फोट","youtube","_","0"
"21","La Palma volcano eruption","hi","ला पाल्मा ज्वालामुखी विस्फोट","youtube","_","1"
"22","La Palma volcano eruption","hi","ला पाल्मा ज्वालामुखी विस्फोट","youtube","_","2"
"23","La Palma volcano eruption","hi","ला पाल्मा ज्वालामुखी विस्फोट","youtube","_","3"
"24","La Palma volcano eruption","hi","ला पाल्मा ज्वालामुखी विस्फोट","youtube","_","4"
"25","La Palma volcano eruption","hi","ला पाल्मा ज्वालामुखी विस्फोट","dailymotion","_","0"
"26","La Palma volcano eruption","hi","ला पाल्मा ज्वालामुखी विस्फोट","dailymotion","_","1"
"27","La Palma volcano eruption","hi","ला पाल्मा ज्वालामुखी विस्फोट","dailymotion","_","2"
"28","La Palma volcano eruption","hi","ला पाल्मा ज्वालामुखी विस्फोट","dailymotion","_","3"
"29","La Palma volcano eruption","hi","ला पाल्मा ज्वालामुखी विस्फोट","dailymotion","_","4"
"30","La Palma volcano eruption","es","Erupción del volcán de la Palma","youtube","_","0"
"31","La Palma volcano eruption","es","Erupción del volcán de la Palma","youtube","_","1"
"32","La Palma volcano eruption","es","Erupción del volcán de la Palma","youtube","_","2"
"33","La Palma volcano eruption","es","Erupción del volcán de la Palma","youtube","_","3"
"34","La Palma volcano eruption","es","Erupción del volcán de la Palma","youtube","_","4"
"35","La Palma volcano eruption","es","Erupción del volcán de la Palma","dailymotion","_","0"
"36","La Palma volcano eruption","es","Erupción del volcán de la Palma","dailymotion","_","1"
"37","La Palma volcano eruption","es","Erupción del volcán de la Palma","dailymotion","_","2"
"38","La Palma volcano eruption","es","Erupción del volcán de la Palma","dailymotion","_","3"
"39","La Palma volcano eruption","es","Erupción del volcán de la Palma","dailymotion","_","4"
"40","La Palma volcano eruption","ar","ثوران بركان لا بالما","youtube","_","0"
"41","La Palma volcano eruption","ar","ثوران بركان لا بالما","youtube","_","1"
"42","La Palma volcano eruption","ar","ثوران بركان لا بالما","youtube","_","2"
"43","La Palma volcano eruption","ar","ثوران بركان لا بالما","youtube","_","3"
"44","La Palma volcano eruption","ar","ثوران بركان لا بالما","youtube","_","4"
"45","La Palma volcano eruption","ar","ثوران بركان لا بالما","dailymotion","_","0"
"46","La Palma volcano eruption","ar","ثوران بركان لا بالما","dailymotion","_","1"
"47","La Palma volcano eruption","ar","ثوران بركان لا بالما","dailymotion","_","2"
"48","La Palma volcano eruption","ar","ثوران بركان لا بالما","dailymotion","_","3"
"49","La Palma volcano eruption","ar","ثوران بركان لا بالما","dailymotion","_","4"
"50","La Palma volcano eruption","bn","লা পালমা আগ্নেয়গিরির অগ্ন্যুৎপাত","youtube","_","0"
"51","La Palma volcano eruption","bn","লা পালমা আগ্নেয়গিরির অগ্ন্যুৎপাত","youtube","_","1"
"52","La Palma volcano eruption","bn","লা পালমা আগ্নেয়গিরির অগ্ন্যুৎপাত","youtube","_","2"
"53","La Palma volcano eruption","bn","লা পালমা আগ্নেয়গিরির অগ্ন্যুৎপাত","youtube","_","3"
"54","La Palma volcano eruption","bn","লা পালমা আগ্নেয়গিরির অগ্ন্যুৎপাত","youtube","_","4"
"55","La Palma volcano eruption","bn","লা পালমা আগ্নেয়গিরির অগ্ন্যুৎপাত","dailymotion","_","0"
"56","La Palma volcano eruption","bn","লা পালমা আগ্নেয়গিরির অগ্ন্যুৎপাত","dailymotion","_","1"
"57","La Palma volcano eruption","bn","লা পালমা আগ্নেয়গিরির অগ্ন্যুৎপাত","dailymotion","_","2"
"58","La Palma volcano eruption","bn","লা পালমা আগ্নেয়গিরির অগ্ন্যুৎপাত","dailymotion","_","3"
"59","La Palma volcano eruption","bn","লা পালমা আগ্নেয়গিরির অগ্ন্যুৎপাত","dailymotion","_","4"
"60","La Palma volcano eruption","fr","Éruption du volcan La Palma","youtube","_","0"
"61","La Palma volcano eruption","fr","Éruption du volcan La Palma","youtube","_","1"
"62","La Palma volcano eruption","fr","Éruption du volcan La Palma","youtube","_","2"
"63","La Palma volcano eruption","fr","Éruption du volcan La Palma","youtube","_","3"
"64","La Palma volcano eruption","fr","Éruption du volcan La Palma","youtube","_","4"
"65","La Palma volcano eruption","fr","Éruption du volcan La Palma","dailymotion","_","0"
"66","La Palma volcano eruption","fr","Éruption du volcan La Palma","dailymotion","_","1"
"67","La Palma volcano eruption","fr","Éruption du volcan La Palma","dailymotion","_","2"
"68","La Palma volcano eruption","fr","Éruption du volcan La Palma","dailymotion","_","3"
"69","La Palma volcano eruption","fr","Éruption du volcan La Palma","dailymotion","_","4"
"70","La Palma volcano eruption","ru","Извержение вулкана Ла Пальма","youtube","_","0"
"71","La Palma volcano eruption","ru","Извержение вулкана Ла Пальма","youtube","_","1"
"72","La Palma volcano eruption","ru","Извержение вулкана Ла Пальма","youtube","_","2"
"73","La Palma volcano eruption","ru","Извержение вулкана Ла Пальма","youtube","_","3"
"74","La Palma volcano eruption","ru","Извержение вулкана Ла Пальма","youtube","_","4"
"75","La Palma volcano eruption","ru","Извержение вулкана Ла Пальма","dailymotion","_","0"
"76","La Palma volcano eruption","ru","Извержение вулкана Ла Пальма","dailymotion","_","1"
"77","La Palma volcano eruption","ru","Извержение вулкана Ла Пальма","dailymotion","_","2"
"78","La Palma volcano eruption","ru","Извержение вулкана Ла Пальма","dailymotion","_","3"
"79","La Palma volcano eruption","ru","Извержение вулкана Ла Пальма","dailymotion","_","4"
"80","La Palma volcano eruption","pt","Erupção do vulcão La Palma","youtube","_","0"
"81","La Palma volcano eruption","pt","Erupção do vulcão La Palma","youtube","_","1"
