"","topic","language","term","platform","link","link_nr"
"0","La Palma volcano eruption","en","La Palma volcano eruption","youtube","_","0"
"1","La Palma volcano eruption","en","La Palma volcano eruption","youtube","_","1"
"2","La Palma volcano eruption","en","La Palma volcano eruption","youtube","_","2"
"3","La Palma volcano eruption","en","La Palma volcano eruption","youtube","_","3"
"4","La Palma volcano eruption","en","La Palma volcano eruption","youtube","_","4"
"5","La Palma volcano eruption","en","La Palma volcano eruption","dailymotion","x84cu0z","0"
"6","La Palma volcano eruption","en","La Palma volcano eruption","dailymotion","x84cjjw","1"
"7","La Palma volcano eruption","en","La Palma volcano eruption","dailymotion","x84dtak","2"
"8","La Palma volcano eruption","en","La Palma volcano eruption","dailymotion","x84l3it","3"
"9","La Palma volcano eruption","en","La Palma volcano eruption","dailymotion","x84dude","4"
"10","La Palma volcano eruption","zh-cn","拉帕尔马火山喷发","youtube","jLbTJq4unk4","0"
"11","La Palma volcano eruption","zh-cn","拉帕尔马火山喷发","youtube","MA58wKpTp3k","1"
"12","La Palma volcano eruption","zh-cn","拉帕尔马火山喷发","youtube","U17iebUyhEE","2"
"13","La Palma volcano eruption","zh-cn","拉帕尔马火山喷发","youtube","Pzm0O2FRF4s","3"
"14","La Palma volcano eruption","zh-cn","拉帕尔马火山喷发","youtube","3FrVI8iBrxQ","4"
"15","La Palma volcano eruption","zh-cn","拉帕尔马火山喷发","dailymotion","x84dadk","0"
"16","La Palma volcano eruption","zh-cn","拉帕尔马火山喷发","dailymotion","_","1"
"17","La Palma volcano eruption","zh-cn","拉帕尔马火山喷发","dailymotion","_","2"
"18","La Palma volcano eruption","zh-cn","拉帕尔马火山喷发","dailymotion","_","3"
"19","La Palma volcano eruption","zh-cn","拉帕尔马火山喷发","dailymotion","_","4"
"20","La Palma volcano eruption","hi","ला पाल्मा ज्वालामुखी विस्फोट","youtube","KTdOwNjUOtg","0"
"21","La Palma volcano eruption","hi","ला पाल्मा ज्वालामुखी विस्फोट","youtube","NBPVQWPJqv4","1"
"22","La Palma volcano eruption","hi","ला पाल्मा ज्वालामुखी विस्फोट","youtube","b9-s-DxVoTg","2"
"23","La Palma volcano eruption","hi","ला पाल्मा ज्वालामुखी विस्फोट","youtube","DiwNmOIun9w","3"
"24","La Palma volcano eruption","hi","ला पाल्मा ज्वालामुखी विस्फोट","youtube","eR0FGO-o-2I","4"
"25","La Palma volcano eruption","hi","ला पाल्मा ज्वालामुखी विस्फोट","dailymotion","x84p3nz","0"
"26","La Palma volcano eruption","hi","ला पाल्मा ज्वालामुखी विस्फोट","dailymotion","x84ozno","1"
"27","La Palma volcano eruption","hi","ला पाल्मा ज्वालामुखी विस्फोट","dailymotion","x84p22u","2"
"28","La Palma volcano eruption","hi","ला पाल्मा ज्वालामुखी विस्फोट","dailymotion","x84p1r1","3"
"29","La Palma volcano eruption","hi","ला पाल्मा ज्वालामुखी विस्फोट","dailymotion","x84p3ii","4"
"30","La Palma volcano eruption","es","Erupción del volcán de la Palma","youtube","LJ4voGGJCrs","0"
"31","La Palma volcano eruption","es","Erupción del volcán de la Palma","youtube","NBPVQWPJqv4","1"
"32","La Palma volcano eruption","es","Erupción del volcán de la Palma","youtube","qmT8WucgEDU","2"
"33","La Palma volcano eruption","es","Erupción del volcán de la Palma","youtube","foO7EWv8ixw","3"
"34","La Palma volcano eruption","es","Erupción del volcán de la Palma","youtube","HHh9VSlKFek","4"
"35","La Palma volcano eruption","es","Erupción del volcán de la Palma","dailymotion","x84aqjx","0"
"36","La Palma volcano eruption","es","Erupción del volcán de la Palma","dailymotion","x84aacn","1"
"37","La Palma volcano eruption","es","Erupción del volcán de la Palma","dailymotion","x84e5vy","2"
"38","La Palma volcano eruption","es","Erupción del volcán de la Palma","dailymotion","x84jixf","3"
"39","La Palma volcano eruption","es","Erupción del volcán de la Palma","dailymotion","x84aso1","4"
"40","La Palma volcano eruption","ar","ثوران بركان لا بالما","youtube","-H1OOS4WbJI","0"
"41","La Palma volcano eruption","ar","ثوران بركان لا بالما","youtube","SXBrN5bePhI","1"
"42","La Palma volcano eruption","ar","ثوران بركان لا بالما","youtube","jskTGjY4oK8","2"
"43","La Palma volcano eruption","ar","ثوران بركان لا بالما","youtube","j1A_fS4ypEU","3"
"44","La Palma volcano eruption","ar","ثوران بركان لا بالما","youtube","ydyyxl_GQRU","4"
"45","La Palma volcano eruption","ar","ثوران بركان لا بالما","dailymotion","x84jl5f","0"
"46","La Palma volcano eruption","ar","ثوران بركان لا بالما","dailymotion","x84eijd","1"
"47","La Palma volcano eruption","ar","ثوران بركان لا بالما","dailymotion","x84oj9j","2"
"48","La Palma volcano eruption","ar","ثوران بركان لا بالما","dailymotion","x84lh80","3"
"49","La Palma volcano eruption","ar","ثوران بركان لا بالما","dailymotion","x84a8qr","4"
"50","La Palma volcano eruption","bn","লা পালমা আগ্নেয়গিরির অগ্ন্যুৎপাত","youtube","NBPVQWPJqv4","0"
"51","La Palma volcano eruption","bn","লা পালমা আগ্নেয়গিরির অগ্ন্যুৎপাত","youtube","qYnDTnfBQbM","1"
"52","La Palma volcano eruption","bn","লা পালমা আগ্নেয়গিরির অগ্ন্যুৎপাত","youtube","b9-s-DxVoTg","2"
"53","La Palma volcano eruption","bn","লা পালমা আগ্নেয়গিরির অগ্ন্যুৎপাত","youtube","akAAZPsiBzE","3"
"54","La Palma volcano eruption","bn","লা পালমা আগ্নেয়গিরির অগ্ন্যুৎপাত","youtube","hi-_3x8LWC0","4"
"55","La Palma volcano eruption","bn","লা পালমা আগ্নেয়গিরির অগ্ন্যুৎপাত","dailymotion","x84p3nz","0"
"56","La Palma volcano eruption","bn","লা পালমা আগ্নেয়গিরির অগ্ন্যুৎপাত","dailymotion","x84ozno","1"
"57","La Palma volcano eruption","bn","লা পালমা আগ্নেয়গিরির অগ্ন্যুৎপাত","dailymotion","x84p22u","2"
"58","La Palma volcano eruption","bn","লা পালমা আগ্নেয়গিরির অগ্ন্যুৎপাত","dailymotion","x84p1r1","3"
"59","La Palma volcano eruption","bn","লা পালমা আগ্নেয়গিরির অগ্ন্যুৎপাত","dailymotion","x84p3ii","4"
"60","La Palma volcano eruption","fr","Éruption du volcan La Palma","youtube","NBPVQWPJqv4","0"
"61","La Palma volcano eruption","fr","Éruption du volcan La Palma","youtube","-u8ywz2eIFw","1"
"62","La Palma volcano eruption","fr","Éruption du volcan La Palma","youtube","qYnDTnfBQbM","2"
"63","La Palma volcano eruption","fr","Éruption du volcan La Palma","youtube","oErCSsAEKwA","3"
"64","La Palma volcano eruption","fr","Éruption du volcan La Palma","youtube","2okK5Pmyzks","4"
"65","La Palma volcano eruption","fr","Éruption du volcan La Palma","dailymotion","x84fgfk","0"
"66","La Palma volcano eruption","fr","Éruption du volcan La Palma","dailymotion","x84fo8a","1"
"67","La Palma volcano eruption","fr","Éruption du volcan La Palma","dailymotion","x84and2","2"
"68","La Palma volcano eruption","fr","Éruption du volcan La Palma","dailymotion","x84fymj","3"
"69","La Palma volcano eruption","fr","Éruption du volcan La Palma","dailymotion","x84m764","4"
"70","La Palma volcano eruption","ru","Извержение вулкана Ла Пальма","youtube","4_2F4M_HVPg","0"
"71","La Palma volcano eruption","ru","Извержение вулкана Ла Пальма","youtube","JwbW-gg-cn4","1"
